Country,COC,COE,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeTotal,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
TRINIDAD AND TOBAGO,NULL,85,3.5,6.2,43,38,31.6,1.63,37,14,34,16272,78,55,66.1,67,74,16,21,12,12,12,100,100,99,98,46,24,31,2.2,0,0.3,118,  1 351,654,697,94,94,48,6.9,9.5,44.9,66,70,50,10,13,56,98,93,92,92
TURKEY,NULL,262,9.2,11.3,73,46,30.5,2.02,41.5,4.5,31,10524,71,28,49.5,72,77,18,21,13,13,12,99,97,96,85,20,20,23,2.4,-2.3,1.1,108,  74 509,  37 153,  37 356,98,97,49,6.6,24.3,60,77,71,52,51,40,44,100,99,97,75
TURKMENISTAN,26,26,NULL,NULL,62,45,16.9,2.32,20,NULL,NULL,5042,76,46,60.8,61,69,15,19,NULL,NULL,NULL,100,100,100,99,67,49,62,1.9,0.6,1.2,133,  5 170,  2 544,  2 626,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,72,99,97
UGANDA,70,123,3.1,5.1,24,18,126.4,5.9,25,1000,61,558,80,76,77.7,54,55,16,17,11,11,11,90,85,83,65,310,72,114,5.7,2.6,3.1,100,  35 621,  17 815,  17 806,90,92,50,NULL,NULL,NULL,17,15,48,5,4,44,95,68,34,34
UKRAINE,7339,4996,8.8,6.8,67,48,26.1,1.48,28,350,49,3657,67,53,59.3,64,75,15,20,15,14,15,100,100,100,100,32,12,15,-0.3,-1.2,-0.5,133,  44 940,  20 667,  24 274,90,91,49,NULL,NULL,NULL,86,86,50,71,89,54,98,98,96,89
UNITED ARAB EMIRATES,NULL,515,2,12,28,24,23.4,1.71,68,NULL,NULL,42921,92,44,79.1,76,78,20,21,12,11,13,94,97,89,91,12,7,8,2.5,0.3,2.2,38,  8 106,  5 619,  2 487,87,90,49,NULL,NULL,NULL,80,82,49,12,39,60,100,100,98,95
UNITED STATES OF AMERICA,3007,10718,9.4,8.5,79,73,27.4,2.08,NULL,1200,26,47882,70,58,63.6,76,81,22,25,17,16,18,NULL,NULL,NULL,NULL,21,6,8,1.1,-0.5,0.9,99,  315 791,  156 003,  159 788,94,95,49,NULL,NULL,NULL,89,90,52,79,111,57,100,94,100,99
UZBEKISTAN,253,193,NULL,NULL,65,59,12.8,2.26,20,28,29,1641,75,48,61,66,72,17,20,12,12,11,100,100,100,99,28,44,53,1.3,1.1,1.1,133,  28 077,  13 958,  14 120,91,88,48,NULL,NULL,NULL,93,91,49,11,7,39,98,81,100,100
VIETNAM,15,NULL,1.7,2.4,80,69,22.7,1.75,32,270,30,1392,81,73,77.1,73,77,20,23,12,12,12,97,96,95,91,59,18,23,3,0.1,1,58,  89 730,  44 388,  45 343,…,…,47,NULL,NULL,NULL,…,…,37,22,22,49,99,93,94,68
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Unknown,7484,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COTE DIVOIRE,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Missing,206,11688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"TAIWAN, PROVINCE OF CHINA",NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
